frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema
84,3.458333,-0.135806,-0.820965,3.831293,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,587.943,45.309,587.943,45.309,141.207,141.207,587.943,45.309,141.207,3.831293,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
85,3.500000,-0.147800,-0.845376,3.857134,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,583.725,38.123,583.725,38.123,143.662,143.662,583.725,38.123,143.662,3.857134,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
86,3.541667,-0.152457,-0.940152,3.857134,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,581.952,2.037,581.952,2.037,4.514,4.514,581.952,2.037,4.514,3.857134,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
87,3.583333,-0.167007,-0.925840,3.857134,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,576.412,7.486,576.412,7.486,18.489,18.489,576.412,7.486,18.489,3.857134,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
88,3.625000,-0.169481,-0.894319,3.857134,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,575.470,19.488,575.470,19.488,43.589,43.589,575.470,19.488,43.589,3.857134,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
89,3.666667,-0.169576,-0.822116,3.785382,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,574.210,41.046,574.210,41.046,69.856,69.856,574.210,41.046,69.856,3.785382,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
90,3.708333,-0.164604,-0.738001,3.688747,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,574.466,66.179,574.466,66.179,95.620,95.620,574.466,66.179,95.620,3.688747,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
91,3.750000,-0.155575,-0.640950,3.534122,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,575.351,93.653,575.351,93.653,121.307,121.307,575.351,93.653,121.307,3.534122,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
92,3.791667,-0.134512,-0.499631,3.102925,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,576.336,123.526,576.336,123.526,153.525,153.525,576.336,123.526,153.525,3.102925,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
93,3.833333,-0.122084,-0.421777,2.946720,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.155,149.792,579.155,149.792,173.894,173.894,579.155,149.792,173.894,2.946720,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
94,3.875000,-0.117964,-0.391372,2.884150,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.933,160.714,579.933,160.714,182.536,182.536,579.933,160.714,182.536,2.884150,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
