frame,time,u,v,radius_px,da3_depth_raw,da3_depth_smooth,object_depth_confidence,depth_observation_state,source
216,8.958333,538.049,334.607,30.130,3.247454,3.247454,1.000000,observed_mask_median,da3_metric_sam2_mask_median
217,9.000000,538.122,339.873,29.452,3.325897,3.215082,1.000000,observed_mask_median,da3_metric_sam2_mask_median
218,9.041667,540.287,347.466,29.987,3.286598,3.215082,1.000000,observed_mask_median,da3_metric_sam2_mask_median
219,9.083333,543.809,354.294,31.514,3.126323,3.159375,1.000000,observed_mask_median,da3_metric_sam2_mask_median
220,9.125000,544.590,361.958,32.272,3.143733,3.143733,1.000000,observed_mask_median,da3_metric_sam2_mask_median
221,9.166667,545.001,366.580,33.373,3.159375,3.126323,1.000000,observed_mask_median,da3_metric_sam2_mask_median
222,9.208333,542.049,369.200,33.983,3.088381,3.088381,1.000000,observed_mask_median,da3_metric_sam2_mask_median
223,9.250000,534.253,368.168,34.025,3.064057,3.086151,1.000000,observed_mask_median,da3_metric_sam2_mask_median
224,9.291667,523.093,364.367,34.526,3.070241,3.070241,1.000000,observed_mask_median,da3_metric_sam2_mask_median
225,9.333333,508.665,355.477,35.098,3.086151,3.064057,1.000000,observed_mask_median,da3_metric_sam2_mask_median
226,9.375000,491.704,343.259,35.522,3.060511,3.060511,1.000000,observed_mask_median,da3_metric_sam2_mask_median
227,9.416667,474.695,324.435,35.513,2.873407,2.873407,1.000000,observed_mask_median,da3_metric_sam2_mask_median
228,9.458333,462.023,296.189,37.202,2.630522,2.767299,1.000000,observed_mask_median,da3_metric_sam2_mask_median
229,9.500000,453.035,260.111,37.893,2.625305,2.767299,1.000000,observed_mask_median,da3_metric_sam2_mask_median
230,9.541667,452.316,216.023,36.889,2.620064,2.767299,1.000000,observed_mask_median,da3_metric_sam2_mask_median
231,9.583333,456.096,178.463,37.526,2.767299,2.767299,1.000000,observed_mask_median,da3_metric_sam2_mask_median
232,9.625000,461.168,146.253,37.262,2.802092,2.802092,1.000000,observed_mask_median,da3_metric_sam2_mask_median
233,9.666667,466.758,119.721,38.103,3.098962,3.098962,1.000000,observed_mask_median,da3_metric_sam2_mask_median
234,9.708333,471.284,98.027,38.274,3.446849,3.409563,1.000000,observed_mask_median,da3_metric_sam2_mask_median
