frame,time,m17_phase_rad,m17_phase_deg,m14_phase_rad,m14_phase_deg,is_error_frame,phase_correction_rad,phase_correction_deg,vlm_visibility,handle_z_sin_m14,handle_z_sin_m17,mug_yaw_deg,m43_phase_rad,m43_phase_deg,m43_source
120,4.958333,0.523598776,30.000000,-0.316588,-18.1392,0,0.001752,0.1004,visible,-0.283684,-0.282003,1.6590,0.523598776,30.000000,smooth_entry_physical_phase_no_hide
121,5.000000,0.474886913,27.209016,-0.317996,-18.2198,0,0.012135,0.6953,visible,-0.284435,-0.272780,1.6947,0.474886913,27.209016,smooth_entry_physical_phase_no_hide
122,5.041667,0.425544891,24.381926,-0.303101,-17.3664,0,0.012505,0.7165,visible,-0.269509,-0.257447,1.7313,0.425544891,24.381926,smooth_entry_physical_phase_no_hide
123,5.083333,0.377568919,21.633106,-0.273480,-15.6692,0,0.005099,0.2922,visible,-0.240209,-0.235256,1.7704,0.377568919,21.633106,smooth_entry_physical_phase_no_hide
124,5.125000,0.332955206,19.076928,-0.238091,-13.6416,0,-0.005044,-0.2890,visible,-0.205039,-0.209973,1.8098,0.332955206,19.076928,smooth_entry_physical_phase_no_hide
125,5.166667,0.293699959,16.827768,-0.209055,-11.9780,0,-0.011868,-0.6800,visible,-0.175881,-0.187552,1.8480,0.293699959,16.827768,smooth_entry_physical_phase_no_hide
126,5.208333,0.261799388,15.000000,-0.192773,-11.0451,0,-0.014122,-0.8091,visible,-0.159228,-0.173153,1.8830,0.261799388,15.000000,smooth_entry_physical_phase_no_hide
127,5.250000,0.236674143,13.560430,-0.190366,-10.9071,0,-0.013245,-0.7589,visible,-0.156311,-0.169378,1.9143,0.236674143,13.560430,smooth_entry_physical_phase_no_hide
128,5.291667,0.215651404,12.355915,-0.200420,-11.4832,0,-0.010632,-0.6092,visible,-0.165760,-0.176235,1.9419,0.215651404,12.355915,smooth_entry_physical_phase_no_hide
129,5.333333,0.197587171,11.320911,-0.220259,-12.6199,0,-0.007186,-0.4117,visible,-0.184883,-0.191940,1.9656,0.197587171,11.320911,smooth_entry_physical_phase_no_hide
130,5.375000,0.181337446,10.389870,-0.246506,-14.1238,0,-0.003585,-0.2054,visible,-0.210281,-0.213784,1.9850,0.181337446,10.389870,smooth_entry_physical_phase_no_hide
131,5.416667,0.165758229,9.497247,-0.276031,-15.8154,0,0.000025,0.0015,visible,-0.238800,-0.238775,1.9997,0.165758229,9.497247,smooth_entry_physical_phase_no_hide
132,5.458333,0.149705521,8.577495,-0.305003,-17.4754,0,0.002584,0.1480,visible,-0.266661,-0.264170,2.0097,0.149705521,8.577495,smooth_entry_physical_phase_no_hide
133,5.500000,0.132035323,7.565067,-0.331132,-18.9725,0,0.003919,0.2246,visible,-0.291654,-0.287903,2.0155,0.132035323,7.565067,smooth_entry_physical_phase_no_hide
134,5.541667,0.111603637,6.394417,-0.353270,-20.2409,0,0.004118,0.2359,visible,-0.312730,-0.308817,2.0170,0.111603637,6.394417,smooth_entry_physical_phase_no_hide
135,5.583333,0.087266463,5.000000,-0.371410,-21.2802,0,0.003537,0.2027,visible,-0.329949,-0.326607,2.0146,0.087266463,5.000000,smooth_entry_physical_phase_no_hide
136,5.625000,0.054868649,3.143742,-0.386229,-22.1293,0,0.002588,0.1483,visible,-0.343986,-0.341555,2.0094,0.054868649,3.143742,smooth_entry_physical_phase_no_hide
137,5.666667,0.012808984,0.733901,-0.398872,-22.8537,0,0.001876,0.1075,visible,-0.355918,-0.354164,2.0040,0.012808984,0.733901,smooth_entry_physical_phase_no_hide
138,5.708333,-0.036225623,-2.075575,-0.410170,-23.5010,0,0.001760,0.1008,visible,-0.366521,-0.364884,1.9998,-0.036225623,-2.075575,smooth_entry_physical_phase_no_hide
139,5.750000,-0.089548263,-5.130738,-0.419999,-24.0642,0,0.001878,0.1076,visible,-0.375724,-0.373983,1.9951,-0.089548263,-5.130738,smooth_entry_physical_phase_no_hide
140,5.791667,-0.144472026,-8.277637,-0.428056,-24.5258,0,0.001911,0.1095,visible,-0.383284,-0.381518,1.9885,-0.144472026,-8.277637,smooth_entry_physical_phase_no_hide
141,5.833333,-0.198310002,-11.362326,-0.434506,-24.8953,0,0.002178,0.1248,visible,-0.389392,-0.387384,1.9787,-0.198310002,-11.362326,smooth_entry_physical_phase_no_hide
142,5.875000,-0.248375282,-14.230855,-0.439455,-25.1789,0,0.003119,0.1787,visible,-0.394163,-0.391295,1.9651,-0.248375282,-14.230855,smooth_entry_physical_phase_no_hide
