frame,time,pelvis_x,pelvis_y,pelvis_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,ball_x,ball_y,ball_z,left_wrist_ball_dist,right_wrist_ball_dist
140,5.791667,-0.013902,-0.028941,4.021262,0.275450,0.070494,3.929920,-0.303829,0.151697,3.636700,-0.332171,0.459086,4.011659,0.725871,0.485680
141,5.833333,-0.011532,-0.030063,4.028229,0.277704,0.074454,3.936925,-0.283033,0.106713,3.634074,-0.319746,0.517078,4.017993,0.747954,0.563153
142,5.875000,-0.007789,-0.030874,4.043762,0.280381,0.076950,3.953593,-0.258534,0.076704,3.643365,-0.308651,0.547839,4.024327,0.757429,0.607957
143,5.916667,-0.004148,-0.031134,4.045679,0.281743,0.078915,3.958084,-0.230123,0.074966,3.639294,-0.286716,0.551715,4.030661,0.742936,0.619403
144,5.958333,-0.000315,-0.030279,4.044584,0.283275,0.080426,3.959259,-0.202190,0.097828,3.632400,-0.263962,0.531395,4.036995,0.713361,0.596233
145,6.000000,0.002390,-0.029103,4.038141,0.287098,0.079685,3.957976,-0.177220,0.141638,3.617636,-0.237671,0.468147,4.043329,0.658461,0.539886
146,6.041667,0.006876,-0.028628,4.041839,0.292054,0.075710,3.963068,-0.161235,0.192039,3.617822,-0.202266,0.348202,4.049664,0.571054,0.461040
147,6.083333,0.009235,-0.028695,4.050238,0.294174,0.072529,3.971477,-0.152562,0.223221,3.626563,-0.188899,0.192221,4.055998,0.504806,0.432083
148,6.125000,0.011206,-0.027702,4.055977,0.295834,0.071317,3.977757,-0.146989,0.236150,3.631341,-0.163520,0.120000,4.062332,0.469606,0.446674
149,6.166667,0.011344,-0.027948,4.054610,0.297518,0.070763,3.977369,-0.145096,0.233870,3.624026,-0.170936,0.179702,4.058826,0.487804,0.438922
150,6.208333,0.009873,-0.028727,4.049765,0.297254,0.071052,3.975538,-0.145277,0.213751,3.606222,-0.163643,0.282244,4.050318,0.512465,0.449722
151,6.250000,0.006577,-0.029868,4.036809,0.296622,0.073263,3.963055,-0.148157,0.180182,3.580373,-0.161298,0.371004,4.041810,0.551854,0.499510
152,6.291667,0.004669,-0.030534,4.032012,0.297280,0.076288,3.959179,-0.149516,0.134732,3.567027,-0.159268,0.464293,4.033302,0.603720,0.571067
153,6.333333,0.001099,-0.030881,4.030149,0.295852,0.079946,3.957429,-0.150104,0.093831,3.561767,-0.152025,0.527469,4.024794,0.636717,0.634381
154,6.375000,-0.000577,-0.030750,4.032983,0.296008,0.082322,3.960120,-0.147734,0.068458,3.562710,-0.143942,0.549008,4.016285,0.643821,0.660812
155,6.416667,-0.001175,-0.030007,4.036250,0.294594,0.083975,3.963464,-0.141410,0.064717,3.562550,-0.140974,0.551737,4.007777,0.640690,0.659860
