frame,time,z_init,z_ref,z_final,anchor_used,anchor_kind,anchor_weight,target_center_z,hand_z,local_delta_z,contact_depth_offset_m,contact_label,frame_mode,human_contact_state,floor_contact_state,support_conf,table_static_start_frame
109,4.500000,3.992072177,3.853841647,3.858059899,1,continuous_keep,1.329439,3.853841647,3.817379141,0.040020494,-0.076483000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
110,4.541667,4.116040474,3.875971947,3.877175605,1,continuous_keep,1.381793,3.875971947,3.826200724,0.030228776,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
111,4.583333,4.250412292,3.897802224,3.897065875,1,continuous_keep,1.351078,3.897802224,3.836315298,0.018513074,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
112,4.625000,4.343298946,3.920766017,3.917066564,1,continuous_keep,1.344288,3.920766017,3.846093845,0.005327829,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
113,4.666667,4.415316957,3.944166887,3.936548064,1,continuous_keep,1.235977,3.944166887,3.856230974,-0.007935913,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
114,4.708333,4.461658162,3.964693961,3.954833979,1,continuous_keep,1.179997,3.964693961,3.865348101,-0.019345861,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
115,4.750000,4.469295383,3.982433514,3.971107188,1,confirmed_update,2.361801,3.982433514,3.875737095,-0.026696419,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
116,4.791667,4.441646709,3.992985479,3.984187006,1,confirmed_update,2.379732,3.992985479,3.883645344,-0.029340135,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
117,4.833333,4.392866147,3.999160441,3.993631051,1,confirmed_update,2.323647,3.999160441,3.890372229,-0.028788213,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
118,4.875000,4.319280003,4.003239360,4.000054959,1,confirmed_update,2.323647,4.003239360,3.896129036,-0.027110324,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
119,4.916667,4.231976455,4.008699454,4.004150725,1,confirmed_update,2.323647,4.008699454,3.903103971,-0.025595483,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
120,4.958333,4.144981984,4.012551928,4.006363635,1,confirmed_update,2.323647,4.012551928,3.908026695,-0.024525233,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
121,5.000000,4.063342384,4.017679263,4.007053633,1,confirmed_update,2.150793,4.017679263,3.912538576,-0.025140686,-0.080000000,left_hand,direct_grasp_anchor,1,0,0.75,167
122,5.041667,3.989639054,3.992720055,4.006601621,1,confirmed_update,2.097039,3.992720055,3.912500238,-0.020822817,-0.059397000,left_hand,direct_grasp_anchor,1,0,0.75,167
123,5.083333,3.923998734,4.019112595,4.005512784,1,confirmed_update,2.077932,4.019112595,3.913649559,-0.025463036,-0.080000000,left_hand,direct_grasp_anchor,1,0,0.75,167
124,5.125000,3.866947576,4.001731516,4.003818522,1,confirmed_update,2.088069,4.001731516,3.915179539,-0.019090978,-0.067461000,left_hand,direct_grasp_anchor,1,0,0.75,167
125,5.166667,3.819386627,4.001810518,4.001813852,1,confirmed_update,1.989078,4.001810518,3.915949392,-0.016072125,-0.069789000,left_hand,direct_grasp_anchor,1,0,0.75,167
126,5.208333,3.779588841,4.010074288,3.999684327,1,confirmed_update,1.989078,4.010074288,3.915424013,-0.014650275,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
127,5.250000,3.746501522,3.936057377,3.997600928,1,confirmed_update,2.004057,3.936057377,3.917033911,-0.014217466,-0.004806000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
128,5.291667,3.719765543,3.999299278,3.995997149,1,confirmed_update,1.989078,3.999299278,3.917759514,-0.014805764,-0.066734000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
129,5.333333,3.699108715,3.994400935,3.994877660,1,confirmed_update,1.989078,3.994400935,3.917404079,-0.016110856,-0.060886000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
130,5.375000,3.682229140,3.973760529,3.994402978,1,confirmed_update,1.989078,3.973760529,3.916504526,-0.017863003,-0.039393000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
131,5.416667,3.667746283,3.965108139,3.994808108,1,confirmed_update,2.035146,3.965108139,3.916105509,-0.019840630,-0.029162000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
132,5.458333,3.654648806,3.969552332,3.996023428,1,confirmed_update,1.989078,3.969552332,3.915048647,-0.021831685,-0.032672000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
133,5.500000,3.641464410,4.005598294,3.997625233,1,confirmed_update,1.989078,4.005598294,3.915144587,-0.023527708,-0.066926000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
134,5.541667,3.627455623,4.017656946,3.998862503,1,confirmed_update,1.989078,4.017656946,3.915547132,-0.025115814,-0.076994000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
135,5.583333,3.613273120,4.011870489,3.999089096,1,confirmed_update,1.989078,4.011870489,3.916040707,-0.026566782,-0.069263000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
136,5.625000,3.599712880,4.018335315,3.997833226,1,confirmed_update,1.989078,4.018335315,3.916728544,-0.027818770,-0.073788000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
137,5.666667,3.587321990,4.012465132,3.994720838,1,confirmed_update,1.989078,4.012465132,3.918395138,-0.028807994,-0.065262000,left_hand,keep_previous_grasp_anchor,1,0,0.56465,167
138,5.708333,3.576779526,4.029578471,3.989681361,1,confirmed_update,1.989078,4.029578471,3.919935703,-0.029642768,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.640518,167
139,5.750000,3.569095878,4.005033883,3.983008232,1,confirmed_update,1.989078,4.005033883,3.921333075,-0.030232809,-0.053468000,left_hand,keep_previous_grasp_anchor,1,0,0.713393,167
